trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",20,0,-170.5716362432588,"{0: 11, 1: 3, 2: 1, 3: 2, 4: 3}",1
79,False,"{'a': 0.01, 'e': 0.7038453156522362}",20,4,-29.94316093167246,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 0}",1
80,False,"{'a': 0.01, 'e': 0.6967067093471655}",25,0,-114.09115272623296,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
81,False,"{'a': 0.01, 'e': 0.6894984329517471}",20,0,-39.00289080243455,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
82,False,"{'a': 0.01, 'e': 0.6822212072876136}",20,0,-131.1724089364011,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
83,False,"{'a': 0.01, 'e': 0.6748757600712672}",30,2,-45.622902907512966,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 0}",1
84,False,"{'a': 0.01, 'e': 0.6674628258413082}",25,6,-36.56082050420275,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 0}",1
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,0,-6.326431035011653,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",20,0,-141.39580101958504,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",20,9,-27.792837633734646,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",25,0,-148.92968018911589,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",20,0,-34.76595583979927,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
90,False,"{'a': 0.01, 'e': 0.6216099682706645}",20,0,-1.1629691597679763,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,0,-53.87784826464008,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434629}",20,7,12.626408587183882,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",30,8,-45.46259689030435,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.5897880250310983}",35,4,-13.148602909245856,"{0: 25, 1: 2, 2: 4, 3: 0, 4: 0}",1
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",25,11,-46.312319861584236,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,0,-58.48930601157153,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",25,0,-25.03177503447208,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",0
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,0,-49.677400438994944,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
99,False,"{'a': 0.01, 'e': 0.5486898605815876}",20,14,9.689440983488938,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",25,18,8.622156482846979,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",25,10,-1.8279511513462685,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516496}",25,5,-3.367917395815102,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",30,20,-24.378997824975873,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",30,19,-12.46597120283797,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.497571047891727}",25,17,-20.12798430426565,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.48887208186052755}",25,0,-34.69101256473409,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.48012422902853413}",20,12,-8.202660299437117,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",20,0,-85.53229207008181,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",20,12,-46.07556953173193,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 1}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",20,2,12.413851450809526,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.44466151674170673}",20,6,-9.421348032518344,"{0: 11, 1: 2, 2: 0, 3: 1, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.43568244627671204}",25,9,-9.799471895477057,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",30,18,-42.324819905915625,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",25,0,-62.88277922998931,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",20,2,-66.42119766187923,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",20,7,8.74163914271857,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",20,16,5.91877701071409,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.3809248243668818}",30,11,-28.462218759180562,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",30,13,-43.177572049154094,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",20,6,9.671457165939145,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.35301940121933034}",25,16,-3.9516672091687606,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",20,12,8.19060534241093,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,12,6.173093692985179,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",30,24,9.232667218202382,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",25,0,12.338235546644631,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
126,False,"{'a': 0.01, 'e': 0.3058169083782893}",25,6,17.185030553534396,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.2962808729253187}",30,11,19.585978485416582,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.28671520963195546}",20,0,7.6250342611799296,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",30,23,8.81994764426322,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",30,11,-31.370785358528515,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",20,5,7.062856943389619,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",35,10,-9.338135458378282,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",25,14,-28.762854889561428,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",25,9,0.3885221091169795,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",25,6,-6.869996291283993,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",20,10,-5.5077924409298875,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",25,9,-37.424163110527665,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",25,14,4.640993389989516,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299934}",20,0,10.256422505129962,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",25,0,36.59715397549758,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",20,0,-38.644291773556425,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",25,11,-25.385434320663265,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
143,False,"{'a': 0.01, 'e': 0.1403316058467367}",30,13,-0.6770249221384574,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",25,7,18.647214520464836,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.1205027693673666}",20,6,-20.428216759716495,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006957}",20,8,22.315562108876577,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
